index,pickup_date,actual_pickup_boxcox,scheduled_pickups,actual_pickup_lag7,actual_pickup_lag14,scheduled_pickup_lag7,scheduled_pickup_lag14,family_size,special_occasion_Dhu al-Hijjah,special_occasion_Dhu al-Qadah,special_occasion_Eid al-Adha,special_occasion_Eid al-Fitr,special_occasion_Muharram,special_occasion_Rabi al-Awwal,special_occasion_Rajab,special_occasion_Ramadan,special_occasion_Shaban,season_Spring,season_Summer,season_Winter
99,2024-06-20,49.71418214296953,161700.0,314432.0,74088.0,194344.0,47922.0,4.151515151515151,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100,2024-06-24,55.91156167542056,234560.0,125000.0,64000.0,86800.0,47280.0,3.9,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
101,2024-06-25,46.87981111332189,135720.0,343000.0,778688.0,177660.0,270296.0,4.533333333333333,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
102,2024-06-26,49.71418214296953,152460.0,64.0,438976.0,272.0,186656.0,3.6666666666666665,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
103,2024-06-27,69.20058716896395,432288.0,1000000.0,830584.0,323600.0,259252.0,3.9298245614035086,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
104,2024-07-02,63.97810977976542,374200.0,493039.0,314432.0,268521.0,154088.0,3.86,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
105,2024-07-03,71.3504743400512,578400.0,343000.0,941192.0,202720.0,442960.0,3.716666666666667,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
106,2024-07-04,61.64057040518473,385024.0,287496.0,314432.0,161700.0,194344.0,4.0212765957446805,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
107,2024-07-08,60.0450546060913,304740.0,512000.0,125000.0,234560.0,86800.0,4.688888888888889,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
108,2024-07-15,4.603856665730652,177.0,216000.0,343000.0,135720.0,177660.0,5.333333333333333,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
109,2024-07-16,4.603856665730652,225.0,287496.0,64.0,152460.0,272.0,6.0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
110,2024-07-22,74.48734381947936,516387.0,1481544.0,1000000.0,432288.0,323600.0,3.7674418604651163,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
111,2024-07-23,44.4196671320853,70290.0,1000000.0,493039.0,374200.0,268521.0,3.8181818181818183,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
112,2024-07-24,43.40781204587783,72345.0,1728000.0,343000.0,578400.0,202720.0,3.6792452830188678,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
113,2024-07-25,33.99444215034182,34704.0,830584.0,287496.0,385024.0,161700.0,3.5277777777777777,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
114,2024-07-29,42.895498630769715,103948.0,729000.0,512000.0,304740.0,234560.0,3.980769230769231,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
115,2024-07-30,27.495469768610203,20150.0,27.0,216000.0,177.0,135720.0,4.846153846153846,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
116,2024-07-31,22.248097214932137,10241.0,27.0,287496.0,225.0,152460.0,4.421052631578948,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
117,2024-08-01,35.192283077343205,40508.0,2146689.0,1481544.0,516387.0,432288.0,3.973684210526316,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
118,2024-08-06,52.43568931530042,133272.0,166375.0,1000000.0,70290.0,374200.0,3.5972222222222223,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
119,2024-08-07,34.596974290935314,55352.0,148877.0,1728000.0,72345.0,578400.0,4.027027027027027,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
